0.5011023622047244,0.4988976377952756
bad,0.0002611123385622753,0.0026760192186834797
bore,8.034225801916163e-05,0.001013643643440712
beauti,0.0013055616928113764,0.0002635473472945851
perform,0.002811979030670657,0.0011352808806535974
movi,0.007672685640829935,0.011008169967766133
dull,0.00010042782252395203,0.0008514606604901981
touch,0.0009038504027155683,0.00014191011008169967
examin,0.0004820535481149698,2.027287286881424e-05
worst,8.034225801916163e-05,0.0007095505504084984
noth,0.00046196798361017934,0.0015001925922922537
mediocr,2.0085564504790408e-05,0.00042573033024509904
thing,0.0008034225801916162,0.002108378778356681
pretenti,4.0171129009580815e-05,0.0005270946945891702
tire,2.0085564504790408e-05,0.0004054574573762848
engross,0.0004017112900958081,2.027287286881424e-05
wast,4.0171129009580815e-05,0.0004865489488515418
like,0.0037158294333862253,0.005980497496300201
best,0.0020888987084982024,0.0008717335333590123
joke,0.00014059895153353285,0.0007500962961461268
flat,4.0171129009580815e-05,0.00044600320311391327
tri,0.00046196798361017934,0.0013380096093417399
suppo,2.0085564504790408e-05,0.0003446388387698421
solid,0.0005623958061341314,8.109149147525696e-05
famili,0.001185048305782634,0.0003649117116386563
delight,0.0006628236286580835,0.00012163723721288544
heart,0.0010243637897443107,0.00030409309303221357
video,0.00012051338702874245,0.0006487319318020557
realli,0.000743165886677245,0.001763739939586839
reveal,0.0005423102416293409,8.109149147525696e-05
instead,0.00014059895153353285,0.0006892776775396842
human,0.001285476128306586,0.0004662760759827275
cultur,0.0008235081446964067,0.0002027287286881424
would,0.0008837648382107779,0.001946195795406167
love,0.0024906099985940104,0.0011758266263912258
fun,0.0015064173378592806,0.0006081861860644271
too,0.0003414545965814369,0.0011150080077847832
90,2.0085564504790408e-05,0.00030409309303221357
poorli,2.0085564504790408e-05,0.00030409309303221357
unfunni,2.0085564504790408e-05,0.00030409309303221357
cinema,0.0007833370156868259,0.0002027287286881424
affect,0.0005623958061341314,0.0001013643643440712
charm,0.0013055616928113764,0.000506821821720356
badli,2.0085564504790408e-05,0.00028382022016339934
dreari,2.0085564504790408e-05,0.00028382022016339934
rivet,0.0002811979030670657,2.027287286881424e-05
intim,0.0002811979030670657,2.027287286881424e-05
unexpect,0.0002811979030670657,2.027287286881424e-05
plot,0.0008034225801916162,0.0017434670667180246
seem,0.0009239359672203587,0.0019056500496685384
move,0.0010645349187538916,0.0004054574573762848
thin,6.025669351437122e-05,0.00042573033024509904
nuanc,0.00036154016108622735,4.054574573762848e-05
realist,0.00036154016108622735,4.054574573762848e-05
entertain,0.00196838532146946,0.0009933707705718977
pointless,2.0085564504790408e-05,0.0002635473472945851
warmth,0.0002611123385622753,2.027287286881424e-05
script,0.0005623958061341314,0.0013380096093417399
fail,0.00018077008054311367,0.0007095505504084984
documentari,0.001144877176773053,0.00044600320311391327
bring,0.000642738064153293,0.00016218298295051393
soul,0.00046196798361017934,8.109149147525696e-05
also,0.001185048305782634,0.0004662760759827275
colleg,4.0171129009580815e-05,0.0003446388387698421
stupid,6.025669351437122e-05,0.0004054574573762848
portrait,0.0005021391126197602,0.0001013643643440712
benigni,2.0085564504790408e-05,0.0002432744744257709
lack,0.0004820535481149698,0.0011758266263912258
so,0.0008235081446964067,0.0017434670667180246
spare,0.0002410267740574849,2.027287286881424e-05
eleg,0.0002410267740574849,2.027287286881424e-05
refreshingli,0.0002410267740574849,2.027287286881424e-05
life,0.0017876152409263461,0.0009122792790966408
fascin,0.0008034225801916162,0.00028382022016339934
an,0.003655572739871854,0.0023111075070448234
attempt,0.00020085564504790406,0.0006892776775396842
music,0.0011047060477634724,0.00044600320311391327
tv,0.00012051338702874245,0.0005473675674579845
warm,0.00038162572559101774,6.081861860644272e-05
film,0.011750055235302388,0.009528250248342692
wor,8.034225801916163e-05,0.00042573033024509904
minut,0.0005021391126197602,0.0011758266263912258
inten,0.00042179685460059856,8.109149147525696e-05
woodi,2.0085564504790408e-05,0.00022300160155695663
nowher,2.0085564504790408e-05,0.00022300160155695663
pinocchio,2.0085564504790408e-05,0.0002432744744257709
stale,2.0085564504790408e-05,0.00022300160155695663
annoy,2.0085564504790408e-05,0.00022300160155695663
breathtak,0.00022094120955269448,2.027287286881424e-05
histori,0.0007029947576676643,0.00022300160155695663
smart,0.0006628236286580835,0.0002027287286881424
funni,0.0020888987084982024,0.0012163723721288543
treat,0.00036154016108622735,6.081861860644272e-05
son,0.00030128346757185613,4.054574573762848e-05
maintain,0.00030128346757185613,4.054574573762848e-05
thoughtprovok,0.00030128346757185613,4.054574573762848e-05
still,0.0014662462088496997,0.0007095505504084984
power,0.001144877176773053,0.0004865489488515418
isnt,0.0005824813706389218,0.0013177367364729255
eye,0.0006025669351437123,0.00018245585581932815
